time x y z vx vy vz 
482680.0000000626 -41816203.81899042 140927745.9013005 29869.12206379056 -28.23813098662353 -11.10500479420451 0.03135981804046178 
482800.0000000626 -41819587.37676951 140926414.1931583 29873.02542162672 -28.15448117989087 -11.08992031615711 0.0336962246226854 
482920.0000000626 -41822960.88989383 140925084.3713496 29877.20918673517 -28.07071687971159 -11.0735626416654 0.03603335690608179 
483040.0000000626 -41826324.34347506 140923756.589875 29881.67347645043 -27.98681894094688 -11.05591112461953 0.03837171816286367 
483160.0000000626 -41829677.72032992 140922431.005346 29886.41846817194 -27.9027682597071 -11.03694287334544 0.04071180617129435 
483280.0000000626 -41833021.00098522 140921107.7772606 29891.44439869166 -27.818545775721 -11.01663266113264 0.04305411298147378 
483400.0000000626 -41836354.16368344 140919787.0682889 29896.751563488 -27.73413247726225 -10.9949528261383 0.04539912458853839 
483520.0000000626 -41839677.18438889 140918469.0445721 29902.34031597452 -27.64950940901123 -10.97187315992527 0.04774732050190571 
483640.0000000626 -41842990.03679518 140917153.8760352 29908.21106668997 -27.56465768328291 -10.94736078379652 0.05009917319639989 
483760.0000000626 -41846292.69233423 140915841.7367159 29914.36428241458 -27.47955849512103 -10.92138001198498 0.05245514742965409 
483880.0000000626 -41849585.12018722 140914532.8051098 29920.80048519558 -27.39419314183452 -10.89389220063792 0.05481569940745158 
484000.0000000626 -41852867.2872984 140913227.2645356 29927.52025126231 -27.30854304764446 -10.86485558140898 0.0571812757759751 
484120.0000000626 -41856139.15839202 140911925.3035209 29934.52420980893 -27.22258979421347 -10.83422507832856 0.05955231241685567 
484240.0000000626 -41859400.69599339 140910627.1162107 29941.81304161919 -27.13631515795489 -10.80195210646087 0.06192923301677864 
484360.0000000626 -41862651.86045489 140909332.9028015 29949.38747750456 -27.04970115516297 -10.76798435068575 0.06431244737937881 
484480.0000000626 -41865892.60998789 140908042.8700038 29957.2482965224 -26.96273009617714 -10.73226552273876 0.06670234944149211 
484600.0000000626 -41869122.9007019 140906757.231534 29965.3963239362 -26.87538464998708 -10.69473509443139 0.06909931495069921 
484720.0000000626 -41872342.68665188 140905476.208641 29973.8324288743 -26.7876479209262 -10.65532800472021 0.0715036987530925 
484840.0000000626 -41875551.91989598 140904200.0306689 29982.55752163692 -26.69950353937324 -10.61397433802319 0.07391583163244841 
484960.0000000626 -41878750.55056475 140902928.9356604 29991.57255059349 -26.61093576870343 -10.57059897087356 0.07633601663235058 
485080.0000000626 -41881938.5269446 140901663.1710047 30000.8784986038 -26.5219296311234 -10.52512118365394 0.07876452478071744 
485200.0000000626 -41885115.79557727 140900402.9941341 30010.47637888551 -26.4324710554677 -10.47745423377124 0.08120159012393328 
485320.0000000626 -41888282.30137901 140899148.673275 30020.36723023902 -26.3425470505807 -10.42750488619759 0.08364740396026055 
485440.0000000626 -41891437.9877819 140897900.488257 30030.552111526 -26.25214590854318 -10.37517289682188 0.08610210814479254 
485560.0000000626 -41894582.79690173 140896658.7313874 30041.0320952813 -26.16125744276776 -10.32035044351254 0.08856578731457281 
485680.0000000626 -41897716.66973693 140895423.7083983 30051.80826031846 -26.06987326689272 -10.26292149919073 0.09103845985658388 
485800.0000000626 -41900839.54640365 140894195.7394713 30062.88168316564 -25.97798712148266 -10.20276114054163 0.0935200674099228 
485920.0000000626 -41903951.36641338 140892975.1603505 30074.25342814166 -25.88559525686246 -10.1397347852422 0.09601046265361467 
486040.0000000626 -41907052.06900027 140891762.3235509 30085.9245358494 -25.79269688194057 -10.07369734976116 0.09850939508909913 
486160.0000000626 -41910141.59350695 140890557.5996738 30097.89600982576 -25.69929469077948 -10.00449231887384 0.1010164944692693 
486280.0000000626 -41913219.87983888 140889361.378839 30110.1688010415 -25.60539548091318 -9.93195071704608 0.1035312514621345 
486400.0000000626 -41916286.86899917 140888174.0722476 30122.7437898909 -25.51101088014229 -9.855889970762117 0.1060529950583669 
486520.0000000626 -41919342.50371811 140886996.1138874 30135.62176524604 -25.41615820183707 -9.776112649722888 0.1085808661359126 
486640.0000000626 -41922386.7291943 140885827.9623983 30148.80340007384 -25.32086145278814 -9.692405073633175 0.1111137864814362 
486760.0000000626 -41925419.49396719 140884670.1031129 30162.28922302205 -25.22515252249289 -9.604535770062544 0.1136504224283381 
486880.0000000626 -41928440.75094501 140883523.0502929 30176.07958526904 -25.12907258870157 -9.512253767643179 0.1161891421020657 
487000.0000000626 -41931450.45861635 140882387.3495797 30190.17462180014 -25.0326737812618 -9.415286707751321 0.1187279650585294 
487120.0000000626 -41934448.58247947 140881263.5806843 30204.57420611218 -24.93602115513587 -9.313338756899077 0.1212645028507124 
487240.0000000626 -41937435.09672979 140880152.3603405 30219.27789715498 -24.8391950342658 -9.206088301529853 0.1237958887530757 
487360.0000000626 -41940409.98625479 140879054.3455482 30234.28487708427 -24.74229380121403 -9.093185406992463 0.1263186945003459 
487480.0000000626 -41943373.24899463 140877970.2371369 30249.59387811654 -24.64543722375574 -8.974249023546095 0.1288288314410013 
487600.0000000626 -41946324.89873982 140876900.7836811 30265.2030964326 -24.54877042957627 -8.848863924831255 0.1313214329464748 
487720.0000000626 -41949264.96845131 140875846.7857984 30281.11009065728 -24.45246866472874 -8.716577369076724 0.1337907142352701 
487840.0000000626 -41952193.51420673 140874809.1008658 30297.31166193381 -24.35674300161825 -8.576895481481591 0.1362298049340078 
487960.0000000626 -41955110.61989846 140873788.6481863 30313.80371199072 -24.26184719918141 -8.429279369236056 0.1386305486793221 
488080.0000000626 -41958016.40283629 140872786.4146362 30330.58107484334 -24.16808596305405 -8.273141000693489 0.1409832628205837 
488200.0000000626 -41960911.02043999 140871803.460818 30347.6373168522 -24.07582490846921 -8.107838910355426 0.1432764497838612 
488320.0000000626 -41963794.67824779 140870840.9277343 30364.96449874225 -23.98550259512897 -7.932673835957668 0.1454964498438788 
488440.0000000626 -41966667.6395153 140869900.0439814 30382.55289183102 -23.89764508296463 -7.746884459145664 0.1476270229041086 
488560.0000000626 -41969530.23673904 140868982.1334345 30400.39063907849 -23.81288355184331 -7.549643515680818 0.1496488443599456 
488680.0000000626 -41972382.88551019 140868088.6233588 30418.46334961077 -23.7319756371062 -7.340054676834238 0.151538897242002 
488800.0000000626 -41975226.10118958 140867221.0528195 30436.75361304538 -23.65583125447425 -7.117150797369013 0.1532697396614691 
488920.0000000626 -41978060.51899541 140866381.0811789 30455.24041723161 -23.58554381639016 -6.879894400180205 0.1548086233116505 
489040.0000000626 -41980886.91821127 140865570.4963401 30473.89844992622 -23.52242786410664 -6.627181654325727 0.1561164358099469 
489160.0000000626 -41983706.25135027 140864791.2222174 30492.69726152776 -23.46806423011251 -6.357851642918167 0.1571464377522456 
489280.0000000626 -41986519.67924716 140864045.3246545 30511.60026249448 -23.4243538569195 -6.070703462218836 0.1578427658626788 
489400.0000000626 -41989328.61317857 140863335.0146502 30530.56352588825 -23.39358124983853 -5.764524706549236 0.158138678856453 
489520.0000000626 -41992134.76520582 140862662.647243 30549.53436339731 -23.37848809749315 -5.438136242963015 0.1579545364363611 
489640.0000000626 -41994940.20794816 140862030.7137266 30568.4496435649 -23.38235663570714 -5.090459922042379 0.1571955303485822 
489760.0000000626 -41997747.44484516 140861441.8239332 30587.23382607867 -23.40910051806635 -4.720618015127914 0.155749239076733 
489880.0000000626 -42000559.49152545 140860898.6741342 30605.7966995424 -23.46335778630158 -4.32807559914937 0.1534831684739083 
490000.0000000626 -42003379.96796065 140860403.9946079 30624.03083781704 -23.55057530938904 -3.912839449907177 0.1502425885128209 
490120.0000000626 -42006213.19935369 140859960.4692049 30641.80884001525 -23.67706592363423 -3.475728374932661 0.1458492046984109 
490240.0000000626 -42009064.32078627 140859570.6174855 30658.9805026114 -23.85000762745987 -3.018728580872133 0.1401015336924215 
490360.0000000626 -42011939.37605653 140859236.6287222 30675.37020185407 -24.07733829925057 -2.545440587790301 0.132778292473158 
490480.0000000626 -42014845.39445768 140858960.1371948 30690.77495198614 -24.36748097201865 -2.061606712561771 0.123646616904194 
490600.0000000626 -42017790.42043442 140858741.9313583 30704.96385033813 -24.72881892833628 -1.575674369075056 0.112477352799672 
490720.0000000626 -42020783.46105359 140858581.5979013 30717.67989725874 -25.16883846701804 -1.099295616107648 0.0990696845518533 
490840.0000000626 -42023834.30787629 140858477.117943 30728.6454073192 -25.6928901366016 -0.6475898300311814 0.08328642618030237 
490960.0000000626 -42026953.18874078 140858424.4579424 30737.57225100839 -26.30261146263421 -0.238923693924846 0.06509869899396321 
491080.0000000626 -42030150.21937568 140858417.2296754 30744.17775258729 -26.99422021499991 0.1060619350855281 0.04463404224748839 
491200.0000000626 -42033434.6625127 140858446.5219872 30748.20599738416 -27.75710043112642 0.3663543903438801 0.02221597099647541 
